Outlet Inventory Sheet,,,,,,,
"Mandarin Oriental, Washington DC",,,,,,,
,,,,,,Period :,________________
Product,Product,,Inv.,Inventory,,Purch.,Outlet
,Description,,Cost,Count,Unit,Par,Par
Outlet,262,Empress Lounge Beverage,,By,Location,,
Location,,Unassigned,,,,,
1235,"Cognac, Rémy Martin, ""Louis XIII"", Cognac, France (750 ml)",,"$2,029.61 ",_________,EACH,No Par,No Par
,,,,,,,
1237,"Cognac, Rémy Martin, VSOP, Fine Champagne, France (750 ml)",,$45.06 ,_________,EACH,No Par,No Par
,,,,,,,
1205,"Liqueur, Dom Bénédictine, ""B&B"", Normandy, France, 1L (1000 ml)",,$39.60 ,_________,EACH,No Par,No Par
,,,,,,,
1252,"Liqueur, Baileys, ""Irish Cream"", Ireland, 1L (1000 ml)",,$30.27 ,_________,EACH,No Par,No Par
,,,,,,,
1195,"Liqueur, Chambord, Raspberry, France (750 ml)",,$27.32 ,_________,BOTTLE,No Par,No Par
,,,,,,,
1266,"Liqueur, Disaronno, Amaretto, Italy, 1L (1000 ml)",,$34.37 ,_________,EACH,No Par,No Par
,,,,,,,
1339,"Liqueur, Drambuie, Isle of Skye, Scotland (750 ml)",,$43.13 ,_________,EACH,No Par,No Par
,,,,,,,
1268,"Liqueur, Frangelico, Hazelnut, Italy (750 ml)",,$32.09 ,_________,EACH,No Par,No Par
,,,,,,,
9299,"Liqueur, Galliano, Coffee, ""Ristretto"", Italy (750 ml)",,$29.00 ,_________,EACH,No Par,No Par
,,,,,,,
1170,"Liqueur, Godiva, Dark Chocolate, Rochester, New York (750 ml)",,$27.35 ,_________,EACH,No Par,No Par
,,,,,,,
1207,"Liqueur, Grand Marnier, ""Cordon Rouge"", France, 1L (1000 ml)",,$40.64 ,_________,BOTTLE,No Par,No Par
,,,,,,,
1298,"Liqueur, Kahlúa, Coffee, Mexico, 1L (1000 ml)",,$29.24 ,_________,EACH,No Par,No Par
,,,,,,,
1270,"Liqueur, Luxardo, Maraschino, ""Originale"", Italy (750 ml)",,$26.54 ,_________,EACH,No Par,No Par
,,,,,,,
1281,"Liqueur, Romana, Sambuca, Italy (750 ml)",,$25.27 ,_________,EACH,No Par,No Par
,,,,,,,
1238,"Liqueur, St. Germain, France (750 ml)",,$23.07 ,_________,EACH,No Par,No Par
,,,,,,,
1232,"Liqueur, Pernod, Anise, France (750 ml)",,$29.24 ,_________,EACH,No Par,No Par
,,,,,,,
1168,"Rum, Malibu, Coconut, Canada, 1L (1000 ml)",,$19.24 ,_________,EACH,No Par,No Par
,,,,,,,
1185,"Gin, Beefeater, London Dry, London, England, 1L (1000 ml)",,$19.77 ,_________,EACH,No Par,No Par
,,,,,,,
1188,"Gin, Bombay, London Dry, England, 1L (1000 ml)",,$20.45 ,_________,EACH,No Par,No Par
,,,,,,,
1347,"Gin, Hendrick's, Scotland, 1L (1000 ml)",,$39.13 ,_________,EACH,No Par,No Par
,,,,,,,
1247,"Gin, Tanqueray, ""No.Ten"", Great Britain, 1L (1000 ml)",,$31.78 ,_________,EACH,No Par,No Par
,,,,,,,
1246,"Gin, Tanqueray, London Dry, Great Britain, 1L (1000 ml)",,$28.35 ,_________,EACH,No Par,No Par
,,,,,,,
1151,"Liqueur, Bols, Triple Sec, Kentucky, 1L (1000 ml)",,$5.86 ,_________,EACH,No Par,No Par
,,,,,,,
1172,"Rum, Goslings, ""Black Seal"", Bermuda, 1L (1000 ml)",,$19.30 ,_________,EACH,No Par,No Par
,,,,,,,
1290,"Tequila, Don Julio, Añejo, Mexico (750 ml)",,$67.44 ,_________,EACH,No Par,No Par
,,,,,,,
1299,"Tequila, Patrón, Añejo, Jalisco, Mexico (750 ml)",,$49.49 ,_________,EACH,No Par,No Par
,,,,,,,
1300,"Tequila, Patrón, Silver, Jalisco, Mexico (750 ml)",,$40.30 ,_________,EACH,No Par,No Par
,,,,,,,
1202,"Vermouth, Dolin, Rouge, France (750 ml)",,$10.00 ,_________,EACH,No Par,No Par
,,,,,,,
1272,"Vermouth, Martini & Rossi, Bianco, Italy, 1L (1000 ml)",,$7.18 ,_________,EACH,No Par,No Par
,,,,,,,
1275,"Vermouth, Martini & Rossi, Extra Dry, Italy, 1L (1000 ml)",,$8.07 ,_________,EACH,No Par,No Par
,,,,,,,
1274,"Vermouth, Martini & Rossi, Rosso, Italy, 1L (1000 ml)",,$8.07 ,_________,EACH,No Par,No Par
,,,,,,,
1309,"Vodka, Belvedere, Poland, 1L (1000 ml)",,$25.51 ,_________,EACH,No Par,No Par
,,,,,,,
1313,"Vodka, Chopin, Potato, Poland, 1L (1000 ml)",,$23.01 ,_________,BOTTLE,No Par,No Par
,,,,,,,
1323,"Vodka, Jewel of Russia, Russia, 1L (1000 ml)",,$28.99 ,_________,EACH,No Par,No Par
,,,,,,,
1250,"Vodka, Ketel One, Holland, 1L (1000 ml)",,$28.06 ,_________,EACH,No Par,No Par
,,,,,,,
138,"Schloss Gobelsburg, Grüner Veltliner, ""Gobelsburger"", Kamptal, Niederösterreich, Austria, 2011 (750 ml)",,$12.67 ,_________,EACH,No Par,No Par
,,,,,,,
461,"Altos Las Hormigas, Malbec, ""Clásico"", Mendoza, Argentina, 2012 (750 ml)",,$7.33 ,_________,EACH,No Par,No Par
,,,,,,,
1117,"Corona, ""Extra"", Mexico, [12oz Bottle] (12 oz)",,$1.16 ,_________,EACH,No Par,No Par
,,,,,,,
1096,"Harveys, Cream Sherry, ""Bristol Cream"", Jerez, Andalucía, Spain, NV (750 ml)",,$17.60 ,_________,EACH,No Par,No Par
,,,,,,,
1244,"Liqueur, Pimm's, ""No. 1 Cup"", Great Britain (750 ml)",,$22.94 ,_________,EACH,No Par,No Par
,,,,,,,
7505,"Straight Bourbon, Knob Creek, ""Small Batch"", 9 year, Kentucky, 1L (1000 ml)",,$39.99 ,_________,EACH,No Par,No Par
,,,,,,,
7547,"Straight Whiskey, Redemption, Rye, Indiana, USA (750 ml)",,$25.12 ,_________,EACH,No Par,No Par
,,,,,,,
7498,"Liqueur, Dom Bénédictine, Normandy, France, 1L (1000 ml)",,$37.75 ,_________,EACH,No Par,No Par
,,,,,,,
1171,"Liqueur, Godiva, White Chocolate, Rochester, New York (750 ml)",,$27.35 ,_________,EACH,No Par,No Par
,,,,,,,
7499,"Liqueur, Midori, Melon, Japan, 1L (1000 ml)",,$27.75 ,_________,EACH,No Par,No Par
,,,,,,,
1166,"Liqueur, Rothman & Winter, ""Orchard Cherry"", Austria (750 ml)",,$20.00 ,_________,EACH,No Par,No Par
,,,,,,,
1287,"Liqueur, Tia Maria, Italy, 1L (1000 ml)",,$21.24 ,_________,EACH,No Par,No Par
,,,,,,,
1433,"Gin, Bluecoat, American Dry, Philadelphia, Pennsylvania (750 ml)",,$26.36 ,_________,EACH,No Par,No Par
,,,,,,,
1186,"Gin, Bombay, London Dry, ""Sapphire"", England, 1L (1000 ml)",,$20.99 ,_________,BOTTLE,No Par,No Par
,,,,,,,
1156,"Brandy, Bols, Apricot, 1L (1000 ml)",,$9.99 ,_________,EACH,No Par,No Par
,,,,,,,
1157,"Brandy, Bols, Cherry, 1L (1000 ml)",,$11.25 ,_________,EACH,No Par,No Par
,,,,,,,
1155,"Liqueur, Bols, Blue Curaçao, USA, 1L (1000 ml)",,$11.35 ,_________,EACH,No Par,No Par
,,,,,,,
1150,"Liqueur, Bols, Crème de Cacao, ""Dark"", 1L (1000 ml)",,$11.35 ,_________,EACH,No Par,No Par
,,,,,,,
1149,"Liqueur, Bols, Crème de Cacao, ""White"", 1L (1000 ml)",,$11.35 ,_________,EACH,No Par,No Par
,,,,,,,
1148,"Liqueur, Bols, Crème de Cassis, 1L (1000 ml)",,$11.35 ,_________,EACH,No Par,No Par
,,,,,,,
1153,"Liqueur, Bols, Crème de Menthe, ""White"", 1L (1000 ml)",,$11.35 ,_________,EACH,No Par,No Par
,,,,,,,
1389,"Liqueur, Bols, Melon, The Netherlands (750 ml)",,$9.86 ,_________,EACH,No Par,No Par
,,,,,,,
1147,"Liqueur, Bols, Sloe Gin, 1L (1000 ml)",,$9.86 ,_________,EACH,No Par,No Par
,,,,,,,
1152,"Schnapps, Bols, Peach, Kentucky, 1L (1000 ml)",,$8.31 ,_________,EACH,No Par,No Par
,,,,,,,
1154,"Schnapps, Bols, Sour Apple, 1L (1000 ml)",,$11.45 ,_________,EACH,No Par,No Par
,,,,,,,
1079,"Taylor Fladgate, Tawny Port, ""30 Year Old"", Porto, Douro, Portugal, NV (750 ml)",,$101.24 ,_________,EACH,No Par,No Par
,,,,,,,
1318,"Rum, Bacardi, Superior, ""Light"", Puerto Rico, 1L (1000 ml)",,$13.99 ,_________,EACH,No Par,No Par
,,,,,,,
1321,"Rum, Captain Morgan, Spiced, Connecticut, 1L (1000 ml)",,$24.44 ,_________,EACH,No Par,No Par
,,,,,,,
1360,"Scotch, Oban, Single Malt, West Highlands, 14 year, Scotland (750 ml)",,$79.11 ,_________,EACH,No Par,No Par
,,,,,,,
7852,"Cognac, Hennessy, VSOP, ""Privilège"", Cognac, France (750 ml)",,$65.20 ,_________,EACH,No Par,No Par
,,,,,,,
7851,"Liqueur, Cointreau, Orange, France, 1L (1000 ml)",,$30.84 ,_________,EACH,No Par,No Par
,,,,,,,
7855,"Aperitif, Dubonnet, Blonde, USA, 1L (1000 ml)",,$10.35 ,_________,EACH,No Par,No Par
,,,,,,,
8130,"Heavy Seas, IPA, ""Loose Cannon"", Baltimore, Maryland, [12oz Bottle] (24/12 OZ)",,$1.34 ,_________,BOTTLE,No Par,No Par
,,,,,,,
8129,"Dogfish Head, IPA, ""60 Minute"", Milton, Delaware, [12oz Bottle] (24/12 OZ)",,$1.40 ,_________,BOTTLE,No Par,No Par
,,,,,,,
8134,"Whiskey, Templeton, Rye, ""Small Batch"", Iowa (750 ml)",,$32.99 ,_________,EACH,No Par,No Par
,,,,,,,
1417,"Straight Bourbon, Bulleit, ""Frontier Whiskey"", Kentucky, 1L (1000 ml)",,$35.45 ,_________,EACH,No Par,No Par
,,,,,,,
1388,"Absinthe, Kübler, Supérieure, Switzerland, 1L (1000 ml)",,$58.00 ,_________,EACH,No Par,No Par
,,,,,,,
1203,"Vermouth, Dolin, Dry, France (750 ml)",,$9.86 ,_________,EACH,No Par,No Par
,,,,,,,
1376,"Scotch, The Macallan, Single Malt, ""Fine Oak"", Highland, 25 year, Scotland (750 ml)",,"$1,676.35 ",_________,BOTTLE,No Par,No Par
,,,,,,,
9756,"Liqueur, Bols, Crème de Noyaux, USA, 1L (1000 ml)",,$11.24 ,_________,EACH,No Par,No Par
,,,,,,,
432,"Stag's Leap Wine Cellars, Chardonnay, Napa Valley, California, 2010 (750 ml)",,$12.80 ,_________,EACH,No Par,No Par
,,,,,,,
10526,"Steele, Pinot Noir, Carneros, California, 2010 (750ml)",,$9.99 ,_________,EACH,No Par,No Par
,,,,,,,
457,"Chateau Ste. Michelle, Riesling, Columbia Valley, Washington, 2012 (750 ml)",,$13.99 ,_________,EACH,No Par,No Par
,,,,,,,
7543,"Amaro, Luxardo, ""Abano"", Italy (750 ml)",,$25.40 ,_________,EACH,No Par,No Par
,,,,,,,
131,"Schloss Gobelsburg, Grüner Veltliner, ""Lamm"", Kamptal, Reserve, Niederösterreich, Austria, 2010 (750 ml)",,$49.99 ,_________,EACH,No Par,No Par
,,,,,,,
8128,"Stella Artois, Cider, ""Cidre"", Belgium, [12oz Bottle] (12/12 OZ)",,$2.50 ,_________,BOTTLE,No Par,No Par
,,,,,,,
10652,"Stag's Leap Wine Cellars, Chardonnay, ""Hands of Time"", Napa Valley, California, 2011 (750ml)",,$13.99 ,_________,EACH,No Par,No Par
,,,,,,,
1221,"Aperitif, Lillet, Blanc, Bordeaux, France (750 ml)",,$9.99 ,_________,EACH,No Par,No Par
,,,,,,,
1222,"Aperitif, Lillet, Rouge, Bordeaux, France (750 ml)",,$16.00 ,_________,EACH,No Par,No Par
,,,,,,,
7529,"DC Brau, Pale Ale, Belgian-Style, ""The Citizen"", Washington D.C., USA, [12oz Bottle] (12 oz)",,$1.44 ,_________,EACH,No Par,No Par
,,,,,,,
10648,"Chateau Ste. Michelle & Dr. Loosen, Riesling, ""Eroica"", Columbia Valley, Washington, 2012 (750ml)",,$12.99 ,_________,EACH,No Par,No Par
,,,,,,,
1071,"Fonseca, Tawny Port, ""10 Year Old"", Porto, Douro, Portugal, NV (750 ml)",,$22.26 ,_________,EACH,No Par,No Par
,,,,,,,
10653,"Steele, Pinot Noir, Santa Barbara County, California, 2008 (750ml)",,$12.08 ,_________,EACH,No Par,No Par
,,,,,,,
11660,"Tequila, Don Julio, Añejo, ""1942"", Jalisco, Mexico (750ml)",,$104.15 ,_________,EACH,No Par,No Par
,,,,,,,
1261,"Aperitivo, Aperol, Italy (750 ml)",,$20.07 ,_________,EACH,No Par,No Par
,,,,,,,
32860,"Matua Valley, Sauvignon Blanc, Marlborough, New Zealand, 2013 (750ml)",,$7.50 ,_________,EACH,No Par,No Par
